dteday,season,workingday,casual,registered,cnt
2011-05-09,2,1,664,3698,4362
2011-05-10,2,1,694,4109,4803
2011-05-11,2,1,550,3632,4182
2011-05-12,2,1,695,4169,4864
2011-05-13,2,1,692,3413,4105
2011-05-14,2,0,902,2507,3409
2011-05-15,2,0,1582,2971,4553
2011-05-16,2,1,773,3185,3958
2011-05-17,2,1,678,3445,4123
2011-05-18,2,1,536,3319,3855
2011-05-19,2,1,735,3840,4575
2011-05-20,2,1,909,4008,4917
2011-05-21,2,0,2258,3547,5805
2011-05-22,2,0,1576,3084,4660
2011-05-23,2,1,836,3438,4274
2011-05-24,2,1,659,3833,4492
2011-05-25,2,1,740,4238,4978
2011-05-26,2,1,758,3919,4677
2011-05-27,2,1,871,3808,4679
2011-05-28,2,0,2001,2757,4758
2011-05-29,2,0,2355,2433,4788
2011-05-30,2,0,1549,2549,4098
2011-05-31,2,1,673,3309,3982
2011-06-01,2,1,513,3461,3974
2011-06-02,2,1,736,4232,4968
2011-06-03,2,1,898,4414,5312
2011-06-04,2,0,1869,3473,5342
2011-06-05,2,0,1685,3221,4906
2011-06-06,2,1,673,3875,4548
2011-06-07,2,1,763,4070,4833
2011-06-08,2,1,676,3725,4401
2011-06-09,2,1,563,3352,3915
2011-06-10,2,1,815,3771,4586
2011-06-11,2,0,1729,3237,4966
2011-06-12,2,0,1467,2993,4460
2011-06-13,2,1,863,4157,5020
2011-06-14,2,1,727,4164,4891
2011-06-15,2,1,769,4411,5180
2011-06-16,2,1,545,3222,3767
2011-06-17,2,1,863,3981,4844
2011-06-18,2,0,1807,3312,5119
2011-06-19,2,0,1639,3105,4744
2011-06-20,2,1,699,3311,4010
2011-06-21,3,1,774,4061,4835
2011-06-22,3,1,661,3846,4507
2011-06-23,3,1,746,4044,4790
2011-06-24,3,1,969,4022,4991
2011-06-25,3,0,1782,3420,5202
2011-06-26,3,0,1920,3385,5305
2011-06-27,3,1,854,3854,4708
2011-06-28,3,1,732,3916,4648
2011-06-29,3,1,848,4377,5225
2011-06-30,3,1,1027,4488,5515
2011-07-01,3,1,1246,4116,5362
2011-07-02,3,0,2204,2915,5119
2011-07-03,3,0,2282,2367,4649
2011-07-04,3,0,3065,2978,6043
2011-07-05,3,1,1031,3634,4665
2011-07-06,3,1,784,3845,4629
2011-07-07,3,1,754,3838,4592
2011-07-08,3,1,692,3348,4040
2011-07-09,3,0,1988,3348,5336
2011-07-10,3,0,1743,3138,4881
2011-07-11,3,1,723,3363,4086
2011-07-12,3,1,662,3596,4258
2011-07-13,3,1,748,3594,4342
2011-07-14,3,1,888,4196,5084
2011-07-15,3,1,1318,4220,5538
2011-07-16,3,0,2418,3505,5923
2011-07-17,3,0,2006,3296,5302
2011-07-18,3,1,841,3617,4458
2011-07-19,3,1,752,3789,4541
2011-07-20,3,1,644,3688,4332
2011-07-21,3,1,632,3152,3784
2011-07-22,3,1,562,2825,3387
2011-07-23,3,0,987,2298,3285
2011-07-24,3,0,1050,2556,3606
2011-07-25,3,1,568,3272,3840
2011-07-26,3,1,750,3840,4590
2011-07-27,3,1,755,3901,4656
2011-07-28,3,1,606,3784,4390
2011-07-29,3,1,670,3176,3846
2011-07-30,3,0,1559,2916,4475
2011-07-31,3,0,1524,2778,4302
2011-08-01,3,1,729,3537,4266
2011-08-02,3,1,801,4044,4845
2011-08-03,3,1,467,3107,3574
2011-08-04,3,1,799,3777,4576
2011-08-05,3,1,1023,3843,4866
2011-08-06,3,0,1521,2773,4294
2011-08-07,3,0,1298,2487,3785
2011-08-08,3,1,846,3480,4326
2011-08-09,3,1,907,3695,4602
2011-08-10,3,1,884,3896,4780
2011-08-11,3,1,812,3980,4792
2011-08-12,3,1,1051,3854,4905
2011-08-13,3,0,1504,2646,4150
2011-08-14,3,0,1338,2482,3820
2011-08-15,3,1,775,3563,4338
2011-08-16,3,1,721,4004,4725
2011-08-17,3,1,668,4026,4694
2011-08-18,3,1,639,3166,3805
2011-08-19,3,1,797,3356,4153
2011-08-20,3,0,1914,3277,5191
2011-08-21,3,0,1249,2624,3873
2011-08-22,3,1,833,3925,4758
2011-08-23,3,1,1281,4614,5895
2011-08-24,3,1,949,4181,5130
2011-08-25,3,1,435,3107,3542
2011-08-26,3,1,768,3893,4661
2011-08-27,3,0,226,889,1115
2011-08-28,3,0,1415,2919,4334
2011-08-29,3,1,729,3905,4634
2011-08-30,3,1,775,4429,5204
2011-08-31,3,1,688,4370,5058
2011-09-01,3,1,783,4332,5115
2011-09-02,3,1,875,3852,4727
2011-09-03,3,0,1935,2549,4484
2011-09-04,3,0,2521,2419,4940
2011-09-05,3,0,1236,2115,3351
2011-09-06,3,1,204,2506,2710
2011-09-07,3,1,118,1878,1996
2011-09-08,3,1,153,1689,1842
2011-09-09,3,1,417,3127,3544
2011-09-10,3,0,1750,3595,5345
2011-09-11,3,0,1633,3413,5046
2011-09-12,3,1,690,4023,4713
2011-09-13,3,1,701,4062,4763
2011-09-14,3,1,647,4138,4785
2011-09-15,3,1,428,3231,3659
2011-09-16,3,1,742,4018,4760
2011-09-17,3,0,1434,3077,4511
2011-09-18,3,0,1353,2921,4274
2011-09-19,3,1,691,3848,4539
2011-09-20,3,1,438,3203,3641
2011-09-21,3,1,539,3813,4352
2011-09-22,3,1,555,4240,4795
2011-09-23,4,1,258,2137,2395
2011-09-24,4,0,1776,3647,5423
2011-09-25,4,0,1544,3466,5010
2011-09-26,4,1,684,3946,4630
2011-09-27,4,1,477,3643,4120
2011-09-28,4,1,480,3427,3907
2011-09-29,4,1,653,4186,4839
2011-09-30,4,1,830,4372,5202
2011-10-01,4,0,480,1949,2429
2011-10-02,4,0,616,2302,2918
2011-10-03,4,1,330,3240,3570
2011-10-04,4,1,486,3970,4456
2011-10-05,4,1,559,4267,4826
2011-10-06,4,1,639,4126,4765
2011-10-07,4,1,949,4036,4985
2011-10-08,4,0,2235,3174,5409
2011-10-09,4,0,2397,3114,5511
2011-10-10,4,0,1514,3603,5117
2011-10-11,4,1,667,3896,4563
2011-10-12,4,1,217,2199,2416
2011-10-13,4,1,290,2623,2913
2011-10-14,4,1,529,3115,3644
2011-10-15,4,0,1899,3318,5217
2011-10-16,4,0,1748,3293,5041
2011-10-17,4,1,713,3857,4570
2011-10-18,4,1,637,4111,4748
2011-10-19,4,1,254,2170,2424
2011-10-20,4,1,471,3724,4195
2011-10-21,4,1,676,3628,4304
2011-10-22,4,0,1499,2809,4308
2011-10-23,4,0,1619,2762,4381
2011-10-24,4,1,699,3488,4187
2011-10-25,4,1,695,3992,4687
2011-10-26,4,1,404,3490,3894
2011-10-27,4,1,240,2419,2659
2011-10-28,4,1,456,3291,3747
2011-10-29,4,0,57,570,627
2011-10-30,4,0,885,2446,3331
2011-10-31,4,1,362,3307,3669
2011-11-01,4,1,410,3658,4068
2011-11-02,4,1,370,3816,4186
2011-11-03,4,1,318,3656,3974
2011-11-04,4,1,470,3576,4046
2011-11-05,4,0,1156,2770,3926
2011-11-06,4,0,952,2697,3649
2011-11-07,4,1,373,3662,4035
2011-11-08,4,1,376,3829,4205
2011-11-09,4,1,305,3804,4109
2011-11-10,4,1,190,2743,2933
2011-11-11,4,0,440,2928,3368
2011-11-12,4,0,1275,2792,4067
2011-11-13,4,0,1004,2713,3717
2011-11-14,4,1,595,3891,4486
2011-11-15,4,1,449,3746,4195
2011-11-16,4,1,145,1672,1817
2011-11-17,4,1,139,2914,3053
2011-11-18,4,1,245,3147,3392
2011-11-19,4,0,943,2720,3663
2011-11-20,4,0,787,2733,3520
2011-11-21,4,1,220,2545,2765
2011-11-22,4,1,69,1538,1607
2011-11-23,4,1,112,2454,2566
2011-11-24,4,0,560,935,1495
2011-11-25,4,1,1095,1697,2792
2011-11-26,4,0,1249,1819,3068
2011-11-27,4,0,810,2261,3071
2011-11-28,4,1,253,3614,3867
2011-11-29,4,1,96,2818,2914
2011-11-30,4,1,188,3425,3613
2011-12-01,4,1,182,3545,3727
2011-12-02,4,1,268,3672,3940
2011-12-03,4,0,706,2908,3614
2011-12-04,4,0,634,2851,3485
2011-12-05,4,1,233,3578,3811
2011-12-06,4,1,126,2468,2594
2011-12-07,4,1,50,655,705
2011-12-08,4,1,150,3172,3322
2011-12-09,4,1,261,3359,3620
2011-12-10,4,0,502,2688,3190
2011-12-11,4,0,377,2366,2743
2011-12-12,4,1,143,3167,3310
2011-12-13,4,1,155,3368,3523
2011-12-14,4,1,178,3562,3740
2011-12-15,4,1,181,3528,3709
2011-12-16,4,1,178,3399,3577
2011-12-17,4,0,275,2464,2739
2011-12-18,4,0,220,2211,2431
2011-12-19,4,1,260,3143,3403
2011-12-20,4,1,216,3534,3750
2011-12-21,1,1,107,2553,2660
2011-12-22,1,1,227,2841,3068
2011-12-23,1,1,163,2046,2209
2011-12-24,1,0,155,856,1011
2011-12-25,1,0,303,451,754
2011-12-26,1,0,430,887,1317
2011-12-27,1,1,103,1059,1162
2011-12-28,1,1,255,2047,2302
2011-12-29,1,1,254,2169,2423
2011-12-30,1,1,491,2508,2999
2011-12-31,1,0,665,1820,2485
2012-01-01,1,0,686,1608,2294
2012-01-02,1,0,244,1707,1951
2012-01-03,1,1,89,2147,2236
2012-01-04,1,1,95,2273,2368
2012-01-05,1,1,140,3132,3272
2012-01-06,1,1,307,3791,4098
2012-01-07,1,0,1070,3451,4521
2012-01-08,1,0,599,2826,3425
2012-01-09,1,1,106,2270,2376
2012-01-10,1,1,173,3425,3598
2012-01-11,1,1,92,2085,2177
2012-01-12,1,1,269,3828,4097
2012-01-13,1,1,174,3040,3214
2012-01-14,1,0,333,2160,2493
2012-01-15,1,0,284,2027,2311
2012-01-16,1,0,217,2081,2298
2012-01-17,1,1,127,2808,2935
2012-01-18,1,1,109,3267,3376
2012-01-19,1,1,130,3162,3292
2012-01-20,1,1,115,3048,3163
2012-01-21,1,0,67,1234,1301
2012-01-22,1,0,196,1781,1977
2012-01-23,1,1,145,2287,2432
2012-01-24,1,1,439,3900,4339
2012-01-25,1,1,467,3803,4270
2012-01-26,1,1,244,3831,4075
2012-01-27,1,1,269,3187,3456
2012-01-28,1,0,775,3248,4023
2012-01-29,1,0,558,2685,3243
2012-01-30,1,1,126,3498,3624
2012-01-31,1,1,324,4185,4509
2012-02-01,1,1,304,4275,4579
2012-02-02,1,1,190,3571,3761
2012-02-03,1,1,310,3841,4151
2012-02-04,1,0,384,2448,2832
2012-02-05,1,0,318,2629,2947
2012-02-06,1,1,206,3578,3784
2012-02-07,1,1,199,4176,4375
2012-02-08,1,1,109,2693,2802
2012-02-09,1,1,163,3667,3830
2012-02-10,1,1,227,3604,3831
2012-02-11,1,0,192,1977,2169
2012-02-12,1,0,73,1456,1529
2012-02-13,1,1,94,3328,3422
2012-02-14,1,1,135,3787,3922
2012-02-15,1,1,141,4028,4169
2012-02-16,1,1,74,2931,3005
2012-02-17,1,1,349,3805,4154
2012-02-18,1,0,1435,2883,4318
2012-02-19,1,0,618,2071,2689
2012-02-20,1,0,502,2627,3129
2012-02-21,1,1,163,3614,3777
2012-02-22,1,1,394,4379,4773
2012-02-23,1,1,516,4546,5062
2012-02-24,1,1,246,3241,3487
2012-02-25,1,0,317,2415,2732
2012-02-26,1,0,515,2874,3389
2012-02-27,1,1,253,4069,4322
2012-02-28,1,1,229,4134,4363
2012-02-29,1,1,65,1769,1834
2012-03-01,1,1,325,4665,4990
2012-03-02,1,1,246,2948,3194
2012-03-03,1,0,956,3110,4066
2012-03-04,1,0,710,2713,3423
2012-03-05,1,1,203,3130,3333
2012-03-06,1,1,221,3735,3956
2012-03-07,1,1,432,4484,4916
2012-03-08,1,1,486,4896,5382
2012-03-09,1,1,447,4122,4569
2012-03-10,1,0,968,3150,4118
2012-03-11,1,0,1658,3253,4911
2012-03-12,1,1,838,4460,5298
2012-03-13,1,1,762,5085,5847
2012-03-14,1,1,997,5315,6312
2012-03-15,1,1,1005,5187,6192
2012-03-16,1,1,548,3830,4378
2012-03-17,1,0,3155,4681,7836
2012-03-18,1,0,2207,3685,5892
2012-03-19,1,1,982,5171,6153
2012-03-20,1,1,1051,5042,6093
2012-03-21,2,1,1122,5108,6230
2012-03-22,2,1,1334,5537,6871
2012-03-23,2,1,2469,5893,8362
2012-03-24,2,0,1033,2339,3372
2012-03-25,2,0,1532,3464,4996
2012-03-26,2,1,795,4763,5558
2012-03-27,2,1,531,4571,5102
2012-03-28,2,1,674,5024,5698
2012-03-29,2,1,834,5299,6133
2012-03-30,2,1,796,4663,5459
2012-03-31,2,0,2301,3934,6235
2012-04-01,2,0,2347,3694,6041
2012-04-02,2,1,1208,4728,5936
2012-04-03,2,1,1348,5424,6772
2012-04-04,2,1,1058,5378,6436
2012-04-05,2,1,1192,5265,6457
2012-04-06,2,1,1807,4653,6460
2012-04-07,2,0,3252,3605,6857
2012-04-08,2,0,2230,2939,5169
2012-04-09,2,1,905,4680,5585
2012-04-10,2,1,819,5099,5918
2012-04-11,2,1,482,4380,4862
2012-04-12,2,1,663,4746,5409
2012-04-13,2,1,1252,5146,6398
2012-04-14,2,0,2795,4665,7460
2012-04-15,2,0,2846,4286,7132
2012-04-16,2,0,1198,5172,6370
2012-04-17,2,1,989,5702,6691
2012-04-18,2,1,347,4020,4367
2012-04-19,2,1,846,5719,6565
2012-04-20,2,1,1340,5950,7290
2012-04-21,2,0,2541,4083,6624
2012-04-22,2,0,120,907,1027
2012-04-23,2,1,195,3019,3214
2012-04-24,2,1,518,5115,5633
2012-04-25,2,1,655,5541,6196
2012-04-26,2,1,475,4551,5026
2012-04-27,2,1,1014,5219,6233
2012-04-28,2,0,1120,3100,4220
2012-04-29,2,0,2229,4075,6304
2012-04-30,2,1,665,4907,5572
2012-05-01,2,1,653,5087,5740
2012-05-02,2,1,667,5502,6169
2012-05-03,2,1,764,5657,6421
2012-05-04,2,1,1069,5227,6296
2012-05-05,2,0,2496,4387,6883
2012-05-06,2,0,2135,4224,6359
2012-05-07,2,1,1008,5265,6273
2012-05-08,2,1,738,4990,5728
2012-05-09,2,1,620,4097,4717
2012-05-10,2,1,1026,5546,6572
2012-05-11,2,1,1319,5711,7030
2012-05-12,2,0,2622,4807,7429
2012-05-13,2,0,2172,3946,6118
2012-05-14,2,1,342,2501,2843
2012-05-15,2,1,625,4490,5115
2012-05-16,2,1,991,6433,7424
2012-05-17,2,1,1242,6142,7384
2012-05-18,2,1,1521,6118,7639
2012-05-19,2,0,3410,4884,8294
2012-05-20,2,0,2704,4425,7129
2012-05-21,2,1,630,3729,4359
2012-05-22,2,1,819,5254,6073
2012-05-23,2,1,766,4494,5260
2012-05-24,2,1,1059,5711,6770
2012-05-25,2,1,1417,5317,6734
2012-05-26,2,0,2855,3681,6536
2012-05-27,2,0,3283,3308,6591
2012-05-28,2,0,2557,3486,6043
2012-05-29,2,1,880,4863,5743
2012-05-30,2,1,745,6110,6855
2012-05-31,2,1,1100,6238,7338
2012-06-01,2,1,533,3594,4127
2012-06-02,2,0,2795,5325,8120
2012-06-03,2,0,2494,5147,7641
2012-06-04,2,1,1071,5927,6998
2012-06-05,2,1,968,6033,7001
2012-06-06,2,1,1027,6028,7055
2012-06-07,2,1,1038,6456,7494
2012-06-08,2,1,1488,6248,7736
2012-06-09,2,0,2708,4790,7498
2012-06-10,2,0,2224,4374,6598
2012-06-11,2,1,1017,5647,6664
2012-06-12,2,1,477,4495,4972
2012-06-13,2,1,1173,6248,7421
2012-06-14,2,1,1180,6183,7363
2012-06-15,2,1,1563,6102,7665
2012-06-16,2,0,2963,4739,7702
2012-06-17,2,0,2634,4344,6978
2012-06-18,2,1,653,4446,5099
2012-06-19,2,1,968,5857,6825
2012-06-20,2,1,872,5339,6211
2012-06-21,3,1,778,5127,5905
2012-06-22,3,1,964,4859,5823
2012-06-23,3,0,2657,4801,7458
2012-06-24,3,0,2551,4340,6891
2012-06-25,3,1,1139,5640,6779
2012-06-26,3,1,1077,6365,7442
2012-06-27,3,1,1077,6258,7335
2012-06-28,3,1,921,5958,6879
2012-06-29,3,1,829,4634,5463
2012-06-30,3,0,1455,4232,5687
2012-07-01,3,0,1421,4110,5531
2012-07-02,3,1,904,5323,6227
2012-07-03,3,1,1052,5608,6660
2012-07-04,3,0,2562,4841,7403
2012-07-05,3,1,1405,4836,6241
2012-07-06,3,1,1366,4841,6207
2012-07-07,3,0,1448,3392,4840
2012-07-08,3,0,1203,3469,4672
2012-07-09,3,1,998,5571,6569
2012-07-10,3,1,954,5336,6290
2012-07-11,3,1,975,6289,7264
2012-07-12,3,1,1032,6414,7446
2012-07-13,3,1,1511,5988,7499
2012-07-14,3,0,2355,4614,6969
2012-07-15,3,0,1920,4111,6031
2012-07-16,3,1,1088,5742,6830
2012-07-17,3,1,921,5865,6786
2012-07-18,3,1,799,4914,5713
2012-07-19,3,1,888,5703,6591
2012-07-20,3,1,747,5123,5870
2012-07-21,3,0,1264,3195,4459
2012-07-22,3,0,2544,4866,7410
2012-07-23,3,1,1135,5831,6966
2012-07-24,3,1,1140,6452,7592
2012-07-25,3,1,1383,6790,8173
2012-07-26,3,1,1036,5825,6861
2012-07-27,3,1,1259,5645,6904
2012-07-28,3,0,2234,4451,6685
2012-07-29,3,0,2153,4444,6597
2012-07-30,3,1,1040,6065,7105
2012-07-31,3,1,968,6248,7216
2012-08-01,3,1,1074,6506,7580
2012-08-02,3,1,983,6278,7261
2012-08-03,3,1,1328,5847,7175
2012-08-04,3,0,2345,4479,6824
2012-08-05,3,0,1707,3757,5464
2012-08-06,3,1,1233,5780,7013
2012-08-07,3,1,1278,5995,7273
2012-08-08,3,1,1263,6271,7534
2012-08-09,3,1,1196,6090,7286
2012-08-10,3,1,1065,4721,5786
2012-08-11,3,0,2247,4052,6299
2012-08-12,3,0,2182,4362,6544
2012-08-13,3,1,1207,5676,6883
2012-08-14,3,1,1128,5656,6784
2012-08-15,3,1,1198,6149,7347
2012-08-16,3,1,1338,6267,7605
2012-08-17,3,1,1483,5665,7148
2012-08-18,3,0,2827,5038,7865
2012-08-19,3,0,1208,3341,4549
2012-08-20,3,1,1026,5504,6530
2012-08-21,3,1,1081,5925,7006
2012-08-22,3,1,1094,6281,7375
2012-08-23,3,1,1363,6402,7765
2012-08-24,3,1,1325,6257,7582
2012-08-25,3,0,1829,4224,6053
2012-08-26,3,0,1483,3772,5255
2012-08-27,3,1,989,5928,6917
2012-08-28,3,1,935,6105,7040
2012-08-29,3,1,1177,6520,7697
2012-08-30,3,1,1172,6541,7713
2012-08-31,3,1,1433,5917,7350
2012-09-01,3,0,2352,3788,6140
2012-09-02,3,0,2613,3197,5810
2012-09-03,3,0,1965,4069,6034
2012-09-04,3,1,867,5997,6864
2012-09-05,3,1,832,6280,7112
2012-09-06,3,1,611,5592,6203
2012-09-07,3,1,1045,6459,7504
2012-09-08,3,0,1557,4419,5976
2012-09-09,3,0,2570,5657,8227
2012-09-10,3,1,1118,6407,7525
2012-09-11,3,1,1070,6697,7767
2012-09-12,3,1,1050,6820,7870
2012-09-13,3,1,1054,6750,7804
2012-09-14,3,1,1379,6630,8009
2012-09-15,3,0,3160,5554,8714
2012-09-16,3,0,2166,5167,7333
2012-09-17,3,1,1022,5847,6869
2012-09-18,3,1,371,3702,4073
2012-09-19,3,1,788,6803,7591
2012-09-20,3,1,939,6781,7720
2012-09-21,3,1,1250,6917,8167
2012-09-22,3,0,2512,5883,8395
2012-09-23,4,0,2454,5453,7907
2012-09-24,4,1,1001,6435,7436
2012-09-25,4,1,845,6693,7538
2012-09-26,4,1,787,6946,7733
2012-09-27,4,1,751,6642,7393
2012-09-28,4,1,1045,6370,7415
2012-09-29,4,0,2589,5966,8555
2012-09-30,4,0,2015,4874,6889
2012-10-01,4,1,763,6015,6778
2012-10-02,4,1,315,4324,4639
2012-10-03,4,1,728,6844,7572
2012-10-04,4,1,891,6437,7328
2012-10-05,4,1,1516,6640,8156
2012-10-06,4,0,3031,4934,7965
2012-10-07,4,0,781,2729,3510
2012-10-08,4,0,874,4604,5478
2012-10-09,4,1,601,5791,6392
2012-10-10,4,1,780,6911,7691
2012-10-11,4,1,834,6736,7570
2012-10-12,4,1,1060,6222,7282
2012-10-13,4,0,2252,4857,7109
2012-10-14,4,0,2080,4559,6639
2012-10-15,4,1,760,5115,5875
2012-10-16,4,1,922,6612,7534
2012-10-17,4,1,979,6482,7461
2012-10-18,4,1,1008,6501,7509
2012-10-19,4,1,753,4671,5424
2012-10-20,4,0,2806,5284,8090
2012-10-21,4,0,2132,4692,6824
2012-10-22,4,1,830,6228,7058
2012-10-23,4,1,841,6625,7466
2012-10-24,4,1,795,6898,7693
2012-10-25,4,1,875,6484,7359
2012-10-26,4,1,1182,6262,7444
2012-10-27,4,0,2643,5209,7852
2012-10-28,4,0,998,3461,4459
2012-10-29,4,1,2,20,22
2012-10-30,4,1,87,1009,1096
2012-10-31,4,1,419,5147,5566
2012-11-01,4,1,466,5520,5986
2012-11-02,4,1,618,5229,5847
2012-11-03,4,0,1029,4109,5138
2012-11-04,4,0,1201,3906,5107
2012-11-05,4,1,378,4881,5259
2012-11-06,4,1,466,5220,5686
2012-11-07,4,1,326,4709,5035
2012-11-08,4,1,340,4975,5315
2012-11-09,4,1,709,5283,5992
2012-11-10,4,0,2090,4446,6536
2012-11-11,4,0,2290,4562,6852
2012-11-12,4,0,1097,5172,6269
2012-11-13,4,1,327,3767,4094
2012-11-14,4,1,373,5122,5495
2012-11-15,4,1,320,5125,5445
2012-11-16,4,1,484,5214,5698
2012-11-17,4,0,1313,4316,5629
2012-11-18,4,0,922,3747,4669
2012-11-19,4,1,449,5050,5499
2012-11-20,4,1,534,5100,5634
2012-11-21,4,1,615,4531,5146
2012-11-22,4,0,955,1470,2425
2012-11-23,4,1,1603,2307,3910
2012-11-24,4,0,532,1745,2277
2012-11-25,4,0,309,2115,2424
2012-11-26,4,1,337,4750,5087
2012-11-27,4,1,123,3836,3959
2012-11-28,4,1,198,5062,5260
2012-11-29,4,1,243,5080,5323
2012-11-30,4,1,362,5306,5668
2012-12-01,4,0,951,4240,5191
2012-12-02,4,0,892,3757,4649
2012-12-03,4,1,555,5679,6234
2012-12-04,4,1,551,6055,6606
2012-12-05,4,1,331,5398,5729
2012-12-06,4,1,340,5035,5375
2012-12-07,4,1,349,4659,5008
2012-12-08,4,0,1153,4429,5582
2012-12-09,4,0,441,2787,3228
2012-12-10,4,1,329,4841,5170
2012-12-11,4,1,282,5219,5501
2012-12-12,4,1,310,5009,5319
2012-12-13,4,1,425,5107,5532
2012-12-14,4,1,429,5182,5611
2012-12-15,4,0,767,4280,5047
2012-12-16,4,0,538,3248,3786
2012-12-17,4,1,212,4373,4585
2012-12-18,4,1,433,5124,5557
2012-12-19,4,1,333,4934,5267
2012-12-20,4,1,314,3814,4128
2012-12-21,1,1,221,3402,3623
2012-12-22,1,0,205,1544,1749
2012-12-23,1,0,408,1379,1787
2012-12-24,1,1,174,746,920
2012-12-25,1,0,440,573,1013
